"Element CSS selector","Total # of clicks","Visible in image","% of total"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>a.sf-header__logo.app-header__desktop-logo.nuxt-link-exact-active.nuxt-link-active>svg","5","No","0.12%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.product-slider-wrapper.render-wrapper.storyblok__outline>div.product-slider>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing.no-mask>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.product_card_slider_wrapper>div.product-card>a.product-card__image-wrapper>img (1)","5","No","0.12%"
"div#__layout>div>div.footer-wrapper>footer.sf-footer.footer__sf-footer>div.sf-footer__container>div.sf-footer-column>div.sf-footer-column__content.sf-footer-column__content--hidden-on-mobile>ul.sf-list>li.sf-list__item>a.sf-link.sf-menu-item>span.sf-menu-item__label (2)","5","Yes","0.12%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>a.sf-link.sf-menu-item.app-header__nav-item-level-two__button>div (3)","4","No","0.10%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (16)","4","No","0.10%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>button.sf-button--pure.sf-button>span.navigation-top.app-header__mobile-menu-toggle.sf-icon>svg.app-header__mobile-menu__open-icon>path","4","No","0.10%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>a.sf-link.sf-menu-item.app-header__nav-item-level-two__button>div (12)","4","No","0.10%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (10)","4","No","0.10%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-light","4","No","0.10%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.product-slider-wrapper.render-wrapper.storyblok__outline>div.product-slider>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing.no-mask>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.product_card_slider_wrapper>div.product-card>a.product-card__image-wrapper>img (7)","4","No","0.10%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper.navigation-wrapper--open>div>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.sf-mega-menu-column>div>button.mobile-menu-sidebar__nav-item.sf-button--pure.sf-menu-item.sf-button (3)","4","No","0.10%"
"div#layout>div.dynamic-page>div>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-left>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>h3.title.h2","4","No","0.10%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (116)","4","No","0.10%"
"div#__layout>div>section.sf-modal.modal>div.sf-modal__container>div.sf-modal__content>div.form>span>form.form>div.register-step-two-wrapper>span.col-6>div.billing-details-gender>button.sf-button--full-width.form__element.sf-button","4","No","0.10%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.app-header__level-two-featured-tiles>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-1-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content","4","No","0.10%"
"div#__layout>div>section.sf-modal.modal>div.sf-modal__container>div.sf-modal__content","4","No","0.10%"
"div#__layout>div>section.sf-modal.modal>div.sf-modal__container>button.sf-button--pure.sf-modal__close.desktop-only.sf-button>span.sf-icon.color-gray-secondary>svg.sf-icon-path>path","4","No","0.10%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>div.app-header__nav-item-level-two__featured>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content (11)","4","No","0.10%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (129)","4","No","0.10%"
"div#layout>div.dynamic-page>div>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-light>span.btn__text (3)","4","Yes","0.10%"
"div#__layout>div>div.footer-wrapper>footer.sf-footer.footer__sf-footer>div.sf-footer__container>div.sf-footer-column>div.sf-footer-column__content.sf-footer-column__content--hidden-on-mobile>ul.sf-list>li.sf-list__item>a.sf-link.sf-menu-item>span.sf-menu-item__label (15)","4","Yes","0.10%"
"div#__layout>div>div>div.header-search.header-search--refinement>div.ais-InstantSearch.ais-InstantSearch--ssr>div.header-search__wrapper.wrapper.relative.ais-Autocomplete>div.header-search__content>div.header-search__results>div.header-search__see-all>button.header-search__see-all__button.btn.btn--mobile-undefined.btn--dark","4","No","0.10%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (48)","4","No","0.10%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (5)","4","No","0.10%"
"div#layout>div.dynamic-page>div>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-light>span.btn__text","4","Yes","0.10%"
"div#layout>div.dynamic-page>div>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-right>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-light>span.btn__text","4","No","0.10%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>div.sf-header__icons.sf-header__icons--inverse>div.account-dropdown__wrapper>div.sf-dropdown>div.sf-dropdown__container>div.account-dropdown__content--wrapper.text-center.logged-in>a.account-dropdown__link-item>span (2)","4","No","0.10%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (44)","4","No","0.10%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.app-header__level-two-featured-tiles>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content","4","No","0.10%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper (2)","4","No","0.10%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>a.sf-link.sf-menu-item.app-header__primary-nav-item.app-header__primary-nav-item--active>span.sf-menu-item__label","4","No","0.10%"
"div#header-search-input>div.text-input__wrapper.text-input__wrapper--focused>button.text-input__icon>svg>g>path","4","No","0.10%"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>aside.sf-sidebar__aside>div.sf-sidebar__top>div.cart-sidebar__top>div.cart-sidebar__top-controls>div.top-bar-summary>div.top-bar-summary__store-selector>span.top-bar-summary__same-day-delete>button.top-bar-summary__same-day-delete__button>svg>g>rect","4","No","0.10%"
"div#__layout>div>div.footer-wrapper>footer.sf-footer.footer__sf-footer>div.sf-footer__container>div.sf-footer-column>div.sf-footer-column__content.sf-footer-column__content--hidden-on-mobile>ul.sf-list>li.sf-list__item>a.sf-link.sf-menu-item>span.sf-menu-item__label (12)","4","Yes","0.10%"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>aside.sf-sidebar__aside>div.sf-sidebar__top>div.cart-sidebar__top>div.cart-sidebar__top-header>button.cart-sidebar__close-button>svg","4","No","0.10%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>a.sf-link.sf-menu-item.app-header__nav-item-level-two__button (9)","4","No","0.10%"
"div#__layout>div>div.footer-wrapper>div.footer__sign-up>ul.footer__sign-up__social-links>li.footer__sign-up__social-link-item>a.sf-link.footer__sign-up__social-link>img","4","Yes","0.10%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper.navigation-wrapper--open>div>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.sf-mega-menu-column>div>button.mobile-menu-sidebar__nav-item.sf-button--pure.sf-menu-item.sf-button>span.sf-menu-item__label (1)","4","No","0.10%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-right>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-light>span.btn__text","4","No","0.10%"
"div#__layout>div>section.sf-modal.modal>div.sf-modal__container>div.sf-modal__content>div>span>form.form>span (1)","3","No","0.07%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>div.app-header__nav-item-level-two__featured>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content>div.app-header-featured-tile__title (4)","3","No","0.07%"
"div#__layout>div>div>div.header-search.header-search--refinement>div.ais-InstantSearch.ais-InstantSearch--ssr>div.header-search__wrapper.wrapper.relative.ais-Autocomplete>div.header-search__suggestions.header-search__suggestions--desktop>div.search-suggestions.header-search__suggestions__box>ul.search-suggestions__list>li.search-suggestions__list__item>a (3)","3","No","0.07%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-dots>button.ssr-carousel-dot-button>span.ssr-carousel-dot-icon (3)","3","No","0.07%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>div.app-header__nav-item-level-two__featured>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content>div.app-header-featured-tile__title (5)","3","No","0.07%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (100)","3","No","0.07%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-dots>button.ssr-carousel-dot-button","3","No","0.07%"
"div#layout>div.dynamic-page>div>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-left>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>p.text-base","3","No","0.07%"
"div#__layout>div>div.footer-wrapper>footer.sf-footer.footer__sf-footer>div.sf-footer__container>div.sf-footer-column>div.sf-footer-column__content.sf-footer-column__content--hidden-on-mobile>ul.sf-list>li.sf-list__item>a.sf-link.sf-menu-item>span.sf-menu-item__label (5)","3","Yes","0.07%"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>aside.sf-sidebar__aside>div.sf-sidebar__top>div.cart-sidebar__top>div.cart-sidebar__top-controls>div.delivery-switcher>div.delivery-switcher__buttons>button.delivery-switcher__button","3","No","0.07%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper (3)","3","No","0.07%"
"div#layout>div.dynamic-page>div>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap.single-col>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-light","3","Yes","0.07%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper.navigation-wrapper--open>div>div.sf-mega-menu.nav-primary.is-active>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.sf-mega-menu-column.is-active>div.sf-mega-menu-column__content>ul.sf-list>li.sf-list__item>a.sf-link.sf-menu-item.mobile-menu-sidebar__nav-item>span.sf-menu-item__label","3","No","0.07%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (58)","3","No","0.07%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.w-full.grid-gap.single-col>div.grid-item>div.storyblok__outline>div.render-wrapper.lockup.mobile--dark.dark.text-center>div.flex.wow.lockup__cta>a.sf-link.btn.btn--mobile-outline-dark.btn--outline-dark","3","No","0.07%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap.single-col>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-light>span.btn__text","3","No","0.07%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (11)","3","No","0.07%"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>aside.sf-sidebar__aside>div.sf-sidebar__content>div.my-cart>div.cart-sidebar__items>div>div.cart-item>div.cart-item__content>div.cart-item__quantity>div.sf-collected-product__quantity-selector.sf-quantity-selector>button.sf-button--pure.sf-quantity-selector__button.sf-button (6)","3","No","0.07%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (70)","3","No","0.07%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper.navigation-wrapper--open>div>div.sf-mega-menu.nav-primary.is-active>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.sf-mega-menu-column.is-active>div.sf-mega-menu-column__content>ul.sf-list>li.sf-list__item>a.sf-link.sf-menu-item.mobile-menu-sidebar__nav-item (2)","3","No","0.07%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-left","3","No","0.07%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.app-header__level-two-featured-tiles>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content (1)","3","No","0.07%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.render-wrapper.spacer.spacer-lg.storyblok__outline","3","No","0.07%"
"div#__layout>div>div>div.header-search.header-search--refinement>div.ais-InstantSearch.ais-InstantSearch--ssr>div.header-search__wrapper.wrapper.relative.ais-Autocomplete>div.header-search__suggestions.header-search__suggestions--desktop>div.search-suggestions.header-search__suggestions__box>ul.search-suggestions__list>li.search-suggestions__list__item>a (2)","3","No","0.07%"
"div#__layout>div>section.sf-modal.modal>div.sf-modal__container>div.sf-modal__content>div>span>form.form>span>div.sf-input.form__element>div.sf-input__wrapper>label.sf-input__label.will-change (1)","3","No","0.07%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (18)","3","No","0.07%"
"div#my-account>div.account-content","3","No","0.07%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-right>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center","3","No","0.07%"
"div#my-account>div.menu>div>menu.menu>a.sf-link.nuxt-link-exact-active.nuxt-link-active>li","3","No","0.07%"
"div#layout>div.dynamic-page>div>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-dots>button.ssr-carousel-dot-button>span.ssr-carousel-dot-icon (3)","3","Yes","0.07%"
